iter	Passed	Remaining
394	811	1242
395	812	1238
396	813	1235
397	814	1231
398	815	1228
399	816	1224
400	817	1221
401	818	1217
402	820	1214
403	822	1212
404	823	1209
405	824	1206
406	825	1202
407	826	1199
408	827	1195
409	828	1192
410	829	1188
411	830	1185
412	831	1182
413	833	1179
414	835	1177
415	836	1173
416	837	1170
417	838	1167
418	839	1163
419	840	1160
420	841	1157
421	842	1153
422	843	1150
423	844	1147
424	845	1144
425	846	1140
426	848	1138
427	850	1136
428	851	1132
429	852	1129
430	853	1126
431	854	1123
432	855	1120
433	856	1117
434	857	1113
435	858	1110
436	859	1107
437	861	1105
438	863	1103
439	864	1100
440	865	1097
441	867	1094
442	868	1091
443	869	1089
444	870	1086
445	872	1083
446	873	1080
447	874	1077
448	876	1075
449	877	1072
450	878	1069
451	879	1066
452	880	1063
453	881	1060
454	883	1057
455	884	1054
456	885	1051
457	886	1048
458	887	1046
459	889	1044
460	891	1042
461	892	1039
462	893	1036
463	895	1033
464	896	1031
465	897	1028
466	898	1025
467	899	1022
468	900	1019
469	902	1017
470	903	1015
471	906	1013
472	907	1010
473	908	1008
474	909	1005
475	911	1003
476	912	1000
477	913	998
478	915	995
479	917	993
480	919	992
481	920	989
482	922	987
483	923	984
484	924	981
485	925	978
486	926	975
487	927	973
488	928	970
489	930	968
490	932	966
491	933	964
492	935	961
493	936	959
494	938	957
495	940	955
496	941	953
497	942	950
498	944	948
499	947	947
500	949	945
501	951	943
502	953	942
503	955	940
504	956	937
505	958	936
506	961	935
507	963	932
508	964	930
509	965	927
510	967	925
511	968	923
512	969	920
513	971	918
514	972	916
515	974	914
516	975	911
517	977	909
518	978	906
519	979	903
520	980	901
521	981	898
522	982	896
523	983	893
524	985	891
525	988	890
526	989	888
527	990	885
528	992	883
529	993	880
530	994	878
531	996	876
532	997	874
533	999	872
534	1001	870
535	1002	867
536	1003	865
537	1005	863
538	1006	860
539	1008	858
540	1009	856
541	1011	854
542	1014	854
543	1016	852
544	1018	850
545	1019	847
546	1020	845
547	1022	843
548	1023	840
549	1024	838
550	1025	835
551	1027	833
552	1030	832
553	1031	830
554	1032	827
555	1033	825
556	1034	823
557	1036	820
558	1037	818
559	1038	816
560	1040	813
561	1042	812
562	1044	810
563	1045	808
564	1047	806
565	1048	804
566	1050	802
567	1052	800
568	1053	798
569	1057	797
570	1059	795
571	1060	793
572	1061	791
573	1063	788
574	1064	786
575	1065	784
576	1066	781
577	1067	779
578	1068	776
579	1070	774
580	1072	773
581	1073	770
582	1074	768
583	1075	766
584	1076	763
585	1077	761
586	1078	758
587	1079	756
588	1080	754
589	1081	751
590	1082	749
591	1084	747
592	1086	745
593	1087	743
594	1088	740
595	1089	738
596	1090	736
597	1091	733
598	1093	731
599	1094	729
600	1095	727
601	1098	726
602	1100	724
603	1101	722
604	1102	720
605	1103	717
606	1105	715
607	1106	713
608	1107	710
609	1108	708
610	1109	706
611	1110	703
612	1112	702
613	1114	700
614	1115	698
615	1116	696
616	1117	693
617	1118	691
618	1119	689
619	1120	687
620	1122	684
621	1122	682
622	1124	680
623	1125	677
624	1126	676
625	1128	674
626	1129	671
627	1130	669
628	1131	667
629	1132	665
630	1133	662
631	1134	660
632	1135	658
633	1136	656
634	1137	654
635	1139	651
636	1140	650
637	1142	648
638	1143	645
639	1144	643
640	1145	641
641	1146	639
642	1148	637
643	1150	635
644	1151	633
645	1155	632
646	1156	631
647	1158	629
648	1159	627
649	1160	625
650	1162	623
651	1163	621
652	1164	619
653	1166	617
654	1170	616
655	1172	614
656	1174	612
657	1175	611
658	1176	608
659	1177	606
660	1178	604
661	1179	602
662	1181	600
663	1182	598
664	1184	596
665	1185	594
666	1187	592
667	1188	590
668	1189	588
669	1190	586
670	1191	584
671	1192	582
672	1193	580
673	1194	577
674	1196	576
675	1198	574
676	1199	572
677	1200	570
678	1201	568
679	1202	566
680	1203	563
681	1205	561
682	1206	559
683	1207	557
684	1208	555
685	1209	553
686	1211	552
687	1213	550
688	1214	548
689	1215	545
690	1216	543
691	1217	541
692	1218	539
693	1219	537
694	1220	535
695	1221	533
696	1222	531
697	1224	529
698	1226	528
699	1228	526
700	1229	524
701	1230	522
702	1232	520
703	1233	518
704	1234	516
705	1235	514
706	1236	512
707	1238	510
708	1240	509
709	1241	507
710	1242	505
711	1243	503
712	1244	501
713	1246	499
714	1247	497
715	1248	495
716	1249	493
717	1250	491
718	1251	489
719	1253	487
720	1254	485
721	1255	483
722	1257	481
723	1258	479
724	1259	477
725	1260	475
726	1261	473
727	1262	471
728	1263	469
729	1264	467
730	1266	466
731	1268	464
732	1269	462
733	1270	460
734	1271	458
735	1272	456
736	1273	454
737	1274	452
738	1275	450
739	1276	448
740	1277	446
741	1278	444
742	1280	442
743	1282	441
744	1283	439
745	1284	437
746	1285	435
747	1286	433
748	1287	431
749	1288	429
750	1290	427
751	1291	425
752	1292	423
753	1293	421
754	1295	420
755	1296	418
756	1297	416
757	1298	414
758	1300	412
759	1301	410
760	1302	409
761	1303	407
762	1304	405
763	1305	403
764	1306	401
765	1308	399
766	1310	397
767	1311	396
768	1313	394
769	1314	392
770	1315	390
771	1316	388
772	1318	387
773	1319	385
774	1320	383
775	1321	381
776	1323	379
777	1324	377
778	1325	376
779	1326	374
780	1327	372
781	1328	370
782	1329	368
783	1331	366
784	1332	364
785	1333	363
786	1334	361
787	1335	359
788	1337	357
789	1339	355
790	1340	354
791	1341	352
792	1342	350
793	1343	348
794	1344	346
795	1345	344
796	1346	342
797	1347	341
798	1348	339
799	1350	337
800	1352	335
801	1353	334
802	1354	332
803	1355	330
804	1356	328
805	1357	326
806	1358	324
807	1359	323
808	1361	321
809	1362	319
810	1363	317
811	1364	315
812	1366	314
813	1367	312
814	1368	310
815	1370	308
816	1371	307
817	1372	305
818	1373	303
819	1375	301
820	1376	300
821	1377	298
822	1379	296
823	1380	294
824	1381	293
825	1382	291
826	1384	289
827	1385	287
828	1386	285
829	1387	284
830	1388	282
831	1389	280
832	1390	278
833	1392	277
834	1394	275
835	1395	273
836	1396	271
837	1397	270
838	1398	268
839	1399	266
840	1400	264
841	1401	263
842	1402	261
843	1403	259
844	1404	257
845	1407	256
846	1409	254
847	1410	252
848	1412	251
849	1413	249
850	1414	247
851	1416	246
852	1417	244
853	1418	242
854	1420	240
855	1421	239
856	1422	237
857	1424	235
858	1425	233
859	1426	232
860	1427	230
861	1428	228
862	1429	226
863	1430	225
864	1431	223
865	1432	221
866	1434	220
867	1436	218
868	1437	216
869	1438	214
870	1439	213
871	1440	211
872	1441	209
873	1442	207
874	1443	206
875	1444	204
876	1445	202
877	1446	201
878	1448	199
879	1450	197
880	1451	196
881	1452	194
882	1453	192
883	1454	190
884	1455	189
885	1456	187
886	1457	185
887	1458	183
888	1459	182
889	1460	180
890	1462	178
891	1464	177
892	1465	175
893	1466	173
894	1467	172
895	1468	170
896	1469	168
897	1470	167
898	1471	165
899	1472	163
900	1473	161
901	1474	160
902	1476	158
903	1478	156
904	1479	155
905	1480	153
906	1481	151
907	1482	150
908	1483	148
909	1484	146
910	1486	145
911	1487	143
912	1488	141
913	1489	140
914	1491	138
915	1492	136
916	1493	135
917	1495	133
918	1496	131
919	1497	130
920	1498	128
921	1499	126
922	1500	125
923	1501	123
924	1502	121
925	1504	120
926	1506	118
927	1507	116
928	1508	115
929	1509	113
930	1510	111
931	1512	110
932	1513	108
933	1514	107
934	1515	105
935	1518	103
936	1520	102
937	1522	100
938	1523	98
939	1524	97
940	1526	95
941	1527	94
942	1529	92
943	1530	90
944	1533	89
945	1535	87
946	1536	85
947	1537	84
948	1538	82
949	1539	81
950	1540	79
951	1541	77
952	1542	76
953	1543	74
954	1544	72
955	1546	71
956	1548	69
957	1549	67
958	1550	66
959	1551	64
960	1552	63
961	1553	61
962	1554	59
963	1555	58
964	1556	56
965	1557	54
966	1558	53
967	1560	51
968	1562	49
969	1563	48
970	1564	46
971	1565	45
972	1566	43
973	1568	41
974	1569	40
975	1570	38
976	1571	36
977	1572	35
978	1573	33
979	1575	32
980	1577	30
981	1578	28
982	1579	27
983	1581	25
984	1582	24
985	1583	22
986	1584	20
987	1585	19
988	1586	17
989	1588	16
990	1590	14
991	1591	12
992	1592	11
993	1593	9
994	1594	8
995	1595	6
996	1596	4
997	1597	3
998	1598	1
999	1599	0
